uniprot_id,ph_optimum,ec_id
B1P123,7,2.1.1.241
A4K8Z1,8,2.4.1.15
Q9YA47,6.2,2.7.1.2
P37702,6.25,3.2.1.147
P83309,6,1.14.11.43
G0LD36,7.1,2.3.1.140
Q8LDM2,7,2.3.1.-
O00469,7.4,1.14.11.4
P27829,10,1.1.1.336
Q8ZH62,7.8,1.1.1.267
D1L2W4,5.75,3.2.1.-
Q3S2I3,8.7,2.7.1.1
Q8KTW9,6.5,3.1.1.81
Q75KD7,7,5.3.99.6
P27514,6,7.3.2.1
Q86Y38,7.75,2.4.2.26
S0APF4,8,5.1.1.8 ; 5.1.1.4
P51094,8,2.4.1.115
A0A2U9Q8M3,6.5,3.2.1.37
A0A5A4WIX0,7.5,1.1.1.42
P85207,6.5,1.8.1.4
Q8G8B6,7.25,1.14.12.22
Q01578,6.8,3.1.1.17
Q602L6,9.25,4.1.2.13
Q8L7J2,4.5,3.2.1.21
Q60358,8,4.1.1.11 ; 4.1.1.25
O24421,7.4,2.4.1.18
Q86PD7,7.75,2.3.2.5
F8WSY7,6,3.2.1.8
Q42536,7.5,1.3.1.33
I3ZR32,6.25,5.3.1.4
A7YBX0,8,5.3.4.1
D9J041,7.325,1.16.1.1
Q56F26,5.3,3.2.1.165
Q8DR77,5.5,3.2.1.180
Q99312,6.25,3.1.3.99
O49006,7.5,3.1.1.11
P0DO58,8,2.4.1.115; 2.4.1.294
Q9SEV0,8,1.3.1.77
Q6Q2T4,7,3.4.22.33
P51016,8.75,4.1.3.39
W0T4K1,7.4,1.1.1.307
Q8NRR8,6.8,3.6.1.11
F9VMT6,7.8,3.1.3.11
P47205,8.5,3.5.1.108
P54968,7.5,3.5.1.-
Q3BEM2,7.5,1.13.11.37
P33912,5,1.11.1.18
Q9A919,8.2,3.8.1.5
P52824,7.2,2.7.1.107
A9S190,7.5,1.2.1.88
Q27796,7.4,2.4.2.8
Q56775,8,2.4.1.251
Q41233,6.5,4.4.1.4
Q9SIU0,6.45,1.1.1.39
Q8LG98,7,3.4.19.12
A0A075EDT8,6,3.2.1.55
Q8KI79,6.5,3.1.1.81
Q9LJP4,6.9,2.4.2.39
F8DQT0,6.75,2.4.2.6
H2BIV5,4,2.4.1.15
Q4VRW8,5.5,3.4.22.1
O22775,6.9,2.4.2.39
A0A1Y3Q6Q6,7,2.4.1.7
Q63065,7.6,2.7.11.2
Q6PFX8,8,6.3.2.41
Q5EG61,7,3.5.5.1
L0C9D3,6.5,3.2.1.68
Q20CL0,7.4,2.4.1.17
Q99036,5,3.2.1.78
Q540D7,7.4,1.2.1.4
A5A4M8,4.8,3.2.1.21
Q5DKU9,7.2,2.7.1.20
Q9EX73,9.5,3.1.1.83
Q7M456,5,3.1.27.-
Q38786,6,3.2.1.188
W8SKF6,8,3.2.1.1
Q80TL1,7.4,4.6.1.1
D9TT09,6.25,2.4.1.329
A0SZU9,8.5,2.7.1.1
P44801,9,1.2.1.11
A0QZ42,7.75,6.3.1.19
O00056,5.4,3.2.1.7
P06968,7.5,3.6.1.23
A0A068Q816,7.4,4.1.1.22
P60785,7.5,3.6.5.3
I7ASS7,7.5,1.14.13.212
P37724,7.5,2.5.1.75
O82832,7.75,2.5.1.91
A0A0M3Q1Q3,7,4.2.3.114
Q3IZ78,7.5,4.2.1.148
O67049,9,1.1.1.25
Q48436,8,1.1.1.76
Q9X229,7,3.1.6.1
Q9SN86,7.5,1.1.1.37
P56601,8.1,1.3.3.4
Q8C2W3,7.4,2.7.7.84
P46721,6.5,
Q6HA27,7.5,3.4.21.26
Q92781,7.75,1.1.1.209; 1.1.1.315; 1.1.1.53
P9WLZ7,8.25,2.7.11.1; 3.1.3.16
P32669,8.5,4.1.2.-
A8N3P5,3,1.10.3.2
Q9Y8G7,6.5,1.14.14.1; 1.6.2.4
Q84B23,6,3.1.3.70
P24481,8.5,4.3.1.24
P81715,9,3.4.24.-
Q57U24,7.5,2.4.1.143
Q96VF5,5.25,3.1.3.26
A3DP49,6.5,6.5.1.7
D8S5L4,8,2.4.1.269
A4YI81,7.05,1.1.1.298
Q88K85,8.8,1.1.1.25
A0A290ZJW2,8.4,1.13.11.2
Q6RUI9,7.6,6.3.1.2
D9RZ53,6.5,5.3.1.7 ; 5.3.1.15
P03962,7.1,4.1.1.23
B8XY24,8.5,3.2.1.8
P74299,7.3,4.1.1.31
P36836,5.5,
P46406,8,1.2.1.12
Q9KJ21,7.5,2.1.1.157
B6T563,7.5,3.2.2.1
P80022,5.5,4.6.1.19
Q9LEA9,6,1.13.11.58
Q97YM2,7.85,1.1.1.122 ; 1.1.1.427
Q2HXL9,8.25,2.1.1.159
Q55928,8.2,3.6.1.13
A0A0E4B3N6,9.5,1.1.1.183
B8DZM3,5.4,3.2.1.78 ; 3.2.1.4
P16068,7.5,4.6.1.2
A0A1B1PF34,7.5,1.4.3.11
P33198,7.4,1.1.1.42
B7UB93,6,1.20.2.1
K1QT40,8,2.4.1.133
O80959,8.5,3.1.1.23
A0A2I4KDZ0,7,3.2.1.83
P00636,7.5,3.1.3.11
I0CKV3,7,3.1.1.3
A0A142ZC57,6.8,2.5.1.148
Q9SK82,8,2.4.1.203
A0A2R6X868,9,1.1.1.95
O34425,8,1.2.1.13
Q96PD7,7.5,2.3.1.20
P50317,7,2.7.2.3
Q9KUA9,8,2.7.1.8
O70582,7.5,1.13.11.31
P0C5D2,6.2,3.1.3.48
P31941,5.5,3.5.4.38
Q6RUJ0,7.6,6.3.1.2
Q9AW95,8,4.1.3.27
Q49610,6.5,2.3.1.101
Q93M81,6.5,3.1.3.24
P42829,6.8,1.3.1.9
O32085,6.2,1.13.11.20
Q5EBA8,5.5,
Q3BJY5,7,2.4.1.18
A6T7D6,9,3.5.2.3
Q3L7F5,7.5,2.3.1.-
Q8P6Z9,8.5,4.2.2.2
Q6L2I5,5,2.7.1.33
Q08295,7.6,3.2.1.10
P95231,7.75,2.3.1.30
Q16873,8,2.5.1.-; 4.4.1.20
E7FHC0,7,3.2.1.23
Q5LLB1,8,1.13.11.4
P58687,7.9,4.2.1.10
Q98FW0,8,5.1.3.31
O85673,6.3,1.14.12.1
A0A7D5FUQ6,4.667,1.11.1.13
Q59325,6,3.2.1.91
A7UGD9,5.5,3.2.1.4
Q53EH2,6,3.2.1.74
Q9NRX4,7.75,3.9.1.3
Q5BCF8,7,3.1.1.73
G2QA66,8,1.13.99.1
Q980M3,7.45,3.6.5.3
Q833V7,7.2,3.4.24.30
Q8U438,9.5,3.6.1.1
Q42798,7.4,1.14.14.93
P9WNS5,7.5,3.6.1.23
U6C7K1,7.5,3.5.2.17
Q0PCR9,9,7.6.2.9
P29474,7.5,1.14.13.39
P46075,7.75,3.4.24.-
Q43210,8.8,4.3.1.24
O58698,7.8,6.1.1.4
W8E1X9,5.5,3.2.1.165
Q9I434,8,2.6.1.37
Q46A52,7.2,2.1.2.1
Q8U488,8,1.1.1.41
P32264,7.4,2.7.2.11
A6YM39,5.5,2.4.1.25
P19139,7.5,2.7.11.1
Q9HWS0,8,3.1.4.52
C6KT09,7.3,1.1.5.4
A6M9C2,7.6,2.4.1.69
Q07747,6.1,1.1.1.91
C4LUA1,7.5,1.4.1.13
P9WK87,7.5,3.1.1.1
Q97VM5,7.3,2.6.1.51
A0A0J9X1M8,7,1.2.1.79 ; 1.2.1.16
Q0JFI2,8,1.14.19.76
P15558,8.5,3.5.1.93
B8E1T1,7,5.3.1.25
O22141,7.5,5.1.3.6
B2Z446,7.5,3.4.22.41
P17118,2,3.4.23.42
O31526,7.75,4.2.2.23
P31434,6.7,3.2.1.177
Q5A651,6,3.4.23.24
A0A6M5K8J2,7.5,1.2.1.8
P42084,7.5,3.5.2.7
P0AF18,7.5,3.5.1.25
P80189,5.5,3.2.1.17
G0FUS0,7.75,2.1.1.315
A4UU34,7.5,2.4.1.18
D5VGA0,7.5,1.13.11.65
Q8X8S5,7.5,2.1.1.37
Q76M73,7.75,1.5.5.2
Q000T0,4.5,3.1.3.26
Q93WY5,7.5,2.5.1.18
Q60106,2.7,3.4.21.101
A0A0A7HLG5,8.09,3.1.1.6
P00895,7.5,4.1.3.27
Q2YIQ6,8,5.3.1.33
Q51844,7.6,3.4.22.37
Q38860,7.05,2.3.1.199
Q2FWH5,7.5,3.6.4.13
A0A0H2WVX4,8.5,1.1.1.3
A0A3Q8GZM8,4,1.3.1.77
Q10NX8,3.5,3.2.1.23
F1QG30,7.5,3.1.4.12
Q8TCT0,7.033,2.7.1.138
Q5NTH0,8,2.4.1.254
B2NHN2,6,3.1.1.75
Q6WAU1,6,1.3.1.82
B9WCR8,7,2.7.7.3
Q8U1K9,8,1.18.1.4
E2GDF4,4.5,3.2.1.3
P9WGI7,7.8,2.1.2.1
D6RU53,7.3,1.21.99.5
Q7QBF7,7.25,2.4.1.214
Q5SH52,8.5,3.5.4.16
O08424,5.5,1.1.1.34
O75908,7.4,2.3.1.26
Q83XK5,5,3.2.1.4
Q5LL69,8.9,4.4.1.25
A4PEU6,7.5,3.8.1.5
H9BZ70,5.5,3.2.1.73
Q9SBJ1,7.4,2.7.11.2
Q0CDD9,7.5,1.1.5.9
Q9AF93,6.6,3.2.1.10
E2IHC5,7.4,1.14.19.58
Q9FE59,4.5,
D2E4A5,8,3.1.4.4
P87039,7,1.1.1.431
I3NX86,7.5,5.4.99.16
Q58991,8.75,4.2.1.114
Q96565,9,2.1.1.340
A0A0M3VGH5,7.5,1.5.3.17 ; 1.5.3.16
Q8X1D8,8,1.7.3.1
P05364,7.5,3.5.2.6
Q27PX2,4.8,1.13.11.12
A8DRH9,7,1.1.1.365
Q04149,8,3.1.22.-
Q95V76,8.5,3.4.11.1
O59869,9,3.1.1.72
Q9CE95,3.8,3.2.1.14
O23181,8,3.1.1.23
Q2U9Z9,7,3.4.11.21
Q12550,4,3.2.1.8
P48823,7.5,3.2.1.52
A0A0K2F2K4,7.2,2.5.1.21
P49425,5.4,3.2.1.78
Q9K169,6.8,2.5.1.54
O53289,7.5,3.1.3.3
A0A8R9YVA6,7.5,3.1.1.-; 3.1.1.3
Q84UB5,7.5,2.1.1.273; 2.1.1.274
E4W4G9,4.5,3.4.22.15
Q969I6,8,
Q5XIF5,8.5,1.14.19.17
B0B552,7.8,1.15.1.1
Q8RW99,7,3.1.3.11
P43096,6.5,3.4.23.24
A0A0M2H929,6,4.1.99.-
B1XLK5,8,3.1.3.11 ; 3.1.3.37
O29544,5.5,1.5.98.1
A4XJR7,6.5,3.2.1.99
P39597,3.5,1.11.1.19
S5S833,6.25,2.4.1.41
A0A1S6KK55,4.5,1.11.1.13
O74168,2,3.2.1.25
G7YHA8,8,2.7.3.4
D1MW98,8.5,3.1.1.57
Q9RM92,7.5,3.2.1.2
P28776,6.5,1.13.11.52
P36667,8,2.4.1.289
P0AB91,6.6,2.5.1.54
F4HYF3,8,3.5.99.7; 4.4.1.15
O23180,8,3.1.1.23
H6UGW9,8,5.3.1.4
Q9X0Z7,8,4.4.1.13 ; 5.1.1.3 ; 5.1.1.1
A0A1G8DI07,9,3.2.1.1
P33300,7.5,2.4.1.370
Q72K29,6.3,3.1.3.70
Q4QB75,6,3.2.1.26
P9WJA1,7,1.14.14.12
D9I0I9,5.5,3.1.3.8 ; 3.1.3.26
Q0P5I5,8.8,4.1.3.16
B7XBZ8,7,3.5.2.12
B7UAM4,6,3.2.1.4
W0A856,8,1.1.1.22
Q1GNW6,8.5,4.2.1.108
A2BIX4,7.5,2.5.1.127
Q50744,7,1.5.98.2
Q8L8A9,8,1.3.2.3
C6ZHB0,6,3.2.1.8
O26232,7.3,4.1.1.23
D4GWT7,7.5,2.7.4.26
Q9AJD6,7.625,1.1.3.12
P0ACV2,7.5,2.3.1.242
Q9Z7D3,8,3.2.2.27
Q5NAT0,5.45,3.2.1.4
A1RUM9,10.5,1.1.1.22
E7EF85,4,3.2.1.8
Q9UWR7,4.5,3.2.1.201 ; 3.2.1.200
Q484B6,8.25,3.4.19.5
B7GUP3,5,5.6.1.5
Q70YQ6,7,1.5.1.3
Q97W94,7.4,2.4.2.28
Q9HUI9,9,2.6.1.84
Q75UV1,8,3.6.1.61
A3C4S4,8,5.1.3.18
Q5ATC7,7.8,4.2.2.2
D6XZ22,7.75,2.4.1.332
P0A6A3,7.25,2.7.2.1
A9W9U6,7.3,5.3.2.6
Q54808,7,5.5.1.23
Q0QWG4,8,3.4.17.1
P80910,10,1.2.7.8
A8J7E8,8.5,4.1.1.17
A0A0B4VSM7,7,2.3.1.196
A0A2U8ZSD8,7.5,3.2.1.1
Q8W1B2,5.5,3.1.4.4
Q6L6Q4,8.625,3.1.26.4
Q8W000,7.675,1.1.1.40
Q8CJQ1,6,3.2.1.8
A0A1D8EJG8,6,3.1.1.117
D4GP33,8.5,1.1.1.46 ; 1.1.1.376
P10144,7.45,3.4.21.79
P94181,7.5,4.6.1.1
Q9SU91,7.4,2.3.1.129
Q9L6D3,8.5,3.1.1.3
P96878,8.3,4.2.1.1
P0CS93,7.5,1.1.3.9
K7NBZ9,7.5,5.4.99.33
Q03217,7.6,3.5.5.7
P52704,5.25,4.1.2.47
D3H5H5,8.35,2.1.1.136
A0A0U1MUE2,8.5,3.1.4.59
I6QMK7,8,3.4.22.15
A0A6F8QRG1,6,1.2.98.1
Q06124,6.3,3.1.3.48
Q8K2C8,7.4,2.3.1.15
P9WJN3,7.4,3.5.1.103
P31343,8,2.7.7.48
P00942,8,5.3.1.1
P0C2S1,6,3.2.1.91
Q745T6,6.2,3.2.1.20
Q5MZ99,7,1.11.1.21
Q93UQ5,9,5.3.1.4
O31097,7,3.1.3.8
Q75NT4,7,3.1.1.13
P38774,6,3.1.3.68
A0A1C9U5X5,8.5,2.1.1.337
Q65J10,7.5,5.3.1.4
B9KDD4,6.8,2.4.99.19
Q9LCC6,7.5,4.3.1.1
Q2FYG6,7.5,2.5.1.30
A8QX04,7.5,2.4.1.15
Q5UY95,8.3,1.1.1.179 ; 1.1.1.424
Q4CUJ8,7.75,3.1.3.48
A5Y5L5,8,4.2.3.108
Q9WVR6,6.25,
A0A1C9CXI1,5,1.14.99.54
Q180W0,8,5.1.1.1
P37064,6,1.10.3.3
O02089,7.25,1.8.4.11
P08263,6.5,2.5.1.18
Q09328,6.25,2.4.1.155
Q9VLJ6,8.6,3.4.15.1
M9TNM8,6,2.4.1.10
P94556,8.033,5.1.1.3 ; 5.1.1.1
Q9ZQ99,7.95,2.4.1.203
P61497,7.5,4.1.99.3
P04385,8.5,2.7.1.6
K4RFM2,8.4,2.1.1.343
Q82TA7,8.5,1.2.1.16 ; 1.2.1.90
P52569,7.5,
Q06320,9,3.5.1.28
O93295,7.5,3.6.1.5
P38415,6,1.13.11.58
A0A2U6TC85,8,3.1.4.12
Q5UPJ7,7.5,6.1.1.1
A0A3G9FT71,6,3.2.1.8
H9L9T8,8,2.5.1.21
P04058,7.6,3.1.1.7
P32056,9.3,3.6.1.-
Q44115,8,4.4.1.32
Q9C1M9,4.75,3.2.1.40
A0A0J6JSQ8,7,1.1.5.4
Q31QF3,8,1.1.1.100
Q5CXD0,7.4,3.6.1.5
A0Q5K1,8.2,2.7.7.60
A1YYW7,9,3.1.3.1
Q8NT73,7.9,5.4.3.8
B6EKJ5,7.5,4.1.1.18
D9Q0R7,7.5,1.15.1.1
P32370,6.8,1.5.1.36 ; 1.3.1.116
Q9WUB3,6.8,2.4.1.1
Q4WQU0,5,3.4.14.10
F4I907,7.55,1.1.1.79
Q7MUW6,7.233,3.4.14.12
Q2M3T9,4.75,3.2.1.35
Q8EBE0,7,1.7.1.6
Q6H6P8,7.5,2.4.1.18
Q9YA64,8,6.1.1.1
Q72G76,5.5,3.5.1.11
E0D5C2,10.5,2.3.2.2
A4XJR8,5.75,3.2.1.55
Q12168,6.5,3.2.1.39
P04830,5,2.4.1.19
Q75S82,8.5,3.4.14.5
Q9I5I6,10.5,1.1.1.387
Q969T4,7.5,2.3.2.24
Q50EK6,7.55,1.14.14.145
Q7WSN5,5.3,3.2.1.94
A0A0U4HGR1,4.5,3.4.22.1
Q5APF3,7.5,2.7.8.7
Q9SR62,7.4,3.1.3.48
G2PZJ2,7,1.1.3.7
Q47Q21,8,4.2.1.113
Q60856,7.4,2.7.7.84
G4RPF4,7,1.1.99.6
Q46505,8,1.12.1.3
P14065,6.5,1.1.1.156
P68739,7.25,3.1.21.7
Q9YC66,7,2.5.1.89 ; 2.5.1.29
Q50403,7,4.5.1.3
C9K502,6,1.1.2.8
Q9NQW7,8.2,3.4.11.9
A0A023IUM3,7.6,3.5.1.98
Q9STD9,6,3.2.1.4
F8G0M3,8.4,5.2.1.1
O34680,8,2.1.1.37
Q9SJQ0,7.5,2.7.1.40
Q58829,6,3.2.2.27
Q8KDN1,8.5,1.8.2.1
Q97ZF1,9.4,2.5.1.46
Q6QTF4,6.8,3.2.1.23
Q8BTW3,7.5,1.8.1.9
Q9A9Z2,8,4.2.1.82
Q4DZJ3,7.5,3.4.11.1
Q84YH9,5.1,1.14.18.1
B0F2H7,7.4,7.1.1.9
P31335,7.4,3.5.4.10
Q58595,7.8,2.3.3.13
Q9CNC4,6,2.4.99.-
P16858,7.4,1.2.1.12
P32752,8,3.1.1.8
L7QI79,6.6,1.1.1.206
A3FEW8,7.75,3.2.1.23
Q8ILW6,7.4,2.3.1.97
Q9XBQ3,6,3.2.1.55
Q93WP4,7,3.1.3.60
A6MF03,7,2.4.1.132
B5XRB0,6.25,1.3.1.6
C9K1X5,7.5,4.2.3.146
B2DEV1,7.4,2.1.2.7
P04182,7.987,2.6.1.13
Q9SFU3,4.5,3.1.3.2
Q8NU97,7,2.7.11.1
Q6WUC2,8,2.1.1.291
Q58999,6.5,2.7.1.146; 2.7.1.147
A0A0F6PB63,6,3.2.1.28
A3LZU7,9.5,1.1.1.173
G5ADV1,9,2.7.3.4
I2C092,5.3,3.2.1.25
Q8MPF2,8,5.3.1.1
Q9BR01,7.5,2.8.2.1
P37349,7.5,2.7.1.29
Q9HTJ1,8,1.2.1.8
Q8TCT1,6.7,3.1.3.75
Q0ZS26,8.05,7.1.2.2
P28826,7.5,3.4.24.63
B1PK99,6.5,5.4.99.16
A0A0P1DJE3,8,3.5.5.5
A0A0P0W2E0,6.75,2.4.1.121
P38135,7.95,6.2.1.-
Q8G8Y2,7.5,2.6.1.100
Q7U0E1,8,2.4.1.266
P36959,8,1.7.1.7
Q6L1T9,5.25,4.1.1.110
A0A3B6UEQ6,5.5,3.2.1.78
C7C437,8,2.3.3.14
W8GKU3,8,3.4.21.26
A8PYK0,7.4,1.6.2.4
B6VFQ8,7.5,3.4.21.62
A0A0J9X283,7.5,1.1.1.169
Q8SAG1,8,2.7.7.4
Q9AR04,6.5,4.2.3.24
Q9JLV6,7.4,2.7.1.78
O30298,8,3.1.3.25
Q2FWP1,7,3.1.4.3
Q06010,8.1,3.4.24.-
C0STY0,7.4,1.7.1.6
B5HL29,4,4.1.1.102
Q6PRW6,5.5,3.2.1.8
Q9STD7,5.5,3.2.1.147
Q08877,7.5,3.6.5.5
Q8KG69,6.5,3.6.1.11
Q56062,7.5,4.1.3.30
O32513,7.95,4.2.1.11
B8IP05,8,3.5.99.7
P0A9S5,12,1.1.1.6
O42275,7.7,3.1.1.7
C7ACH5,8,5.1.1.5
Q94FM7,7.5,1.14.14.149
Q2I8V6,6.5,1.1.1.292
Q4JC35,6.25,4.1.2.55
Q6RHX9,6,2.4.1.207
Q875K3,6,3.2.1.21
Q8SAS8,6.75,2.3.1.151; 2.3.1.220
D1M8Z4,7.5,3.4.22.34
K2QXC4,8,3.5.5.5
Q10472,7.5,2.4.1.41
P97275,7.5,2.5.1.26
Q10R54,5,
P20689,7,2.7.11.18
Q9FY99,8.5,1.1.1.49
Q9RBN6,9,2.2.1.7
Q00985,7.2,1.14.17.4
V9N2L5,7,4.2.3.73
A0A090B6R9,7.2,2.3.1.269
H5ZXI0,8.75,2.2.1.7
Q4JIX4,7.1,3.7.1.24
Q9M099,5.5,3.4.16.6
A0A2Z6G7T9,5,3.2.1.80
Q1A7S9,8,2.5.1.29
Q9UBX7,7.5,3.4.21.35
O28050,4.5,1.11.1.21
Q8U0N7,8,6.5.1.5
Q8SDS7,6.4,3.4.22.-; 3.5.1.28
Q4V398,7,2.4.1.351
Q9LFU9,7.5,2.3.1.4
C7T2J8,5.5,1.3.99.5
Q5GJ60,7,4.2.3.113; 4.2.3.15; 4.2.3.16; 4.2.3.25; 4.2.3.55; 5.5.1.17
Q86VF5,7.4,2.3.1.22
O94923,6.5,5.1.3.17
C0LTQ2,8,3.1.1.4
P10056,6.8,3.4.22.30
A0A0M5MSC0,5.4,2.4.1.2
A0A1W7HCY1,8.5,1.16.1.10
Q45QT1,7.4,3.3.2.10
P29019,5.2,3.2.1.4
Q9AXU4,9,4.3.1.19
P25539,8,1.1.1.193 ; 3.5.4.26
K7ZLA5,8.8,5.1.3.11
Q9ZM18,6.25,3.4.21.107
D2KAT1,7,3.2.1.191
A0A0A0K2U8,7,4.2.1.92
L7Y2Z6,7,3.2.1.86
Q9AQF3,8,4.2.2.22
D0ZLR3,8,4.3.1.29
P31166,8.8,2.4.2.7
Q5IS34,6.35,2.4.1.10
P78417,7.8,1.8.5.1 ; 1.20.4.2
P82186,4.6,3.2.1.4
Q46U22,7.5,1.14.13.2
Q5JFI4,6,4.1.1.19
Q9H2V7,5.5,
D4GYV5,7.5,2.8.1.7 ; 4.4.1.16
A5F4U3,7.75,
Q9AGA6,7.5,3.2.1.122
P29465,8,2.4.1.16
Q8R2Y0,7.75,3.1.1.23
Q6GHH5,7.5,2.5.1.31
P21146,7.5,2.7.11.15
C4M4T9,7,3.1.3.57; 3.1.3.7
Q6FFQ1,7,4.2.1.41
Q58293,8,2.1.1.228
G4WZU4,7.75,3.1.3.8
Q9RF52,9,3.4.11.1
Q9UV63,6.7,2.4.1.231
P9WEM6,5,3.1.1.-
Q7AKI9,7.5,
O86372,8,3.2.1.23
O54435,6,2.4.1.10
A4I2Z3,7.4,6.3.1.9
Q5JI38,7.5,3.5.3.24
P04068,7,3.3.2.9
Q2UII1,6,3.1.1.20
P82604,7,4.8.1.4
C7B608,7.4,1.14.14.19
Q9LFR0,5.8,3.2.1.114
A0A2H5BHJ6,9.5,6.3.4.25
W8VJU1,7.5,4.2.2.23
P97224,4.875,1.8.5.2
P82115,9,3.4.24.40
Q6SZS7,7.5,1.1.1.40
Q5SJ85,7.4,3.5.3.24
P76113,5.9,1.3.1.n3
H2N0D4,7,3.2.1.1
A0A0A1HAT7,7.5,5.1.3.11
Q15118,7.5,2.7.11.2
Q7XYT0,7.5,2.5.1.1; 2.5.1.10
F4ZE79,7,3.1.3.8
Q1KLK0,6.5,2.8.3.22
W0J9X7,7.6,2.5.1.28
A0A166G7A0,7,1.1.1.318 ; 1.1.1.319
D2RTP2,8.5,3.2.1.1
Q84F19,6,3.2.1.8
Q711P7,8.5,6.3.1.9
Q25BW5,6,3.2.1.21
Q5J7C6,7,2.4.1.69
P09467,7.5,3.1.3.11
A0A0E3T3B5,9.8,1.2.1.19
P86832,7,6.2.1.33
P9WN39,7.5,6.3.1.2
Q53IZ1,5,4.1.1.12
B4EY22,7,
G3XP38,6,3.4.17.-
Q96IY4,8.5,3.4.17.20
A2XDA1,6.5,1.3.5.5
A0A172QP03,7,1.2.1.8
Q49HI4,7.6,3.2.1.78
Q8TE99,5.8,3.1.3.-
A9YZX5,8.75,2.3.1.178
P14324,7.5,2.5.1.1 ; 2.5.1.10
B4Y0U0,7.5,2.3.1.115
P16661,7.35,2.4.1.142
P55250,7.2,4.2.1.2
Q93AD3,7,3.2.1.14
C0BTR1,5.5,3.1.3.26 ; 3.1.3.8
O64816,7.6,2.7.11.1
H7C831,7.4,3.2.2.6
Q6IAQ1,7.4,3.1.1.5
Q9X5C9,9.5,1.1.1.-; 1.1.1.24
Q2K0Q7,9.5,1.1.1.9
Q6F936,7.5,1.5.1.36
A0A2P9J4V0,8.5,3.4.24.24
Q842E2,9.25,6.3.2.49
P14384,7.2,3.4.17.12
Q4K423,7.1,3.7.1.24
O29610,8.3,1.1.1.42
Q4ACU7,8,2.5.1.18
A0A1D9CEW3,3,3.2.1.1
Q93YB2,9,1.2.1.19
U6A629,5.5,3.2.1.55
Q197W1,6,2.4.1.19
P55072,7.5,3.6.4.6
Q96KN2,7.7,3.4.13.20
P15316,6,4.2.2.1
Q401R6,7,5.4.99.39
Q57764,6,4.1.1.19
Q9T0N8,7.1,1.5.99.12
P0CT50,5.5,4.1.1.91
O58308,8.1,1.8.1.14
O54939,7.4,1.1.1.64 ; 1.1.1.51
Q673U2,8,3.4.14.5
P18757,8,4.4.1.1; 4.4.1.2
P35354,7.533,1.14.99.1
Q2XQ11,5.5,3.2.1.22
Q39761,7.5,4.2.3.13
A0A141NXG8,8,3.5.1.26
A0A0H2YQI3,7,3.2.1.51
Q12382,7.375,2.7.1.174
A9WC34,7.5,4.2.1.148
Q9UPW5,6.8,3.4.17.24
Q64GB3,5.5,3.2.1.80 ; 3.2.1.153
P40406,6,3.2.1.52
P97687,7.4,3.6.1.5 ; 3.6.1.6
Q0GYS1,8,3.1.3.62
Q8NHU3,7.4,2.7.8.27
O96907,7.5,2.7.4.3
Q9LAG3,7,1.14.14.20
P43251,6,3.5.1.12
Q6QHI7,8,2.3.1.129
Q5LU04,9,2.7.4.1
P52097,9,6.3.4.19
F4HU51,8.75,3.1.2.2; 3.1.2.20
A1B5I2,7.2,1.5.1.36
P28907,7.4,3.2.2.6
Q2U1F3,8.5,3.4.11.-
Q2U7D3,7,3.1.1.73
Q58626,8.5,6.4.1.1
Q59Q46,8,1.1.1.205
A0A1W6GW18,7,4.2.3.199
P25152,8.4,3.4.11.10 ; 3.4.11.6
Q9RVT9,8,2.4.1.4
Q9AVK9,7.5,1.3.1.42
Q3LFN0,5,
O26325,6,6.5.1.9
A0A8F4N283,8.5,3.1.4.46
Q06509,7.5,2.1.1.175; 2.1.1.68
Q9FSD6,7.6,2.3.1.180
O24325,5.6,3.4.22.34
Q8K4Y7,7,3.6.1.6
Q3V5W6,7.75,6.3.1.2
E2JA32,8,6.3.2.46
Q989T9,6.85,1.14.11.56
B0NAQ4,7,1.3.1.114
P15888,7.2,1.7.1.16
Q7X3X5,9.75,1.1.1.37
B3TMR8,7.5,1.1.1.384
Q5UVY7,8,1.15.1.1
Q9K2V8,6,2.4.1.62
Q6UWV6,9,3.1.4.12
P0ACC7,7.7,2.3.1.157 ; 2.7.7.23
P9WGP5,7,7.4.2.5
Q5XF51,7.5,3.4.24.-
G9M9M2,6.5,1.14.11.61
A6XIG6,7.25,3.1.1.92
O48882,7.8,1.14.17.4
Q84FR6,8,3.5.2.2
A0A4P8XUU6,8,2.4.1.4
Q8ZXM4,7.5,2.5.1.126
A0A0A7H9U0,6.5,3.1.3.4
A0A2H4V677,7,3.1.1.72
Q7XU03,6,2.4.1.215
Q9AJF8,4.5,3.2.1.4
Q5NTE5,8.5,1.13.11.57
V5W6K5,7.375,1.13.11.2
A0A0U3JTC9,5,4.1.1.15
Q9FPW3,8,2.3.1.166
Q88IJ7,8.8,1.1.1.25
O14734,8,3.1.2.2 ; 3.1.2.20
Q9AJS8,9,6.2.1.27 ; 6.2.1.37
Q8KHZ8,7.4,1.14.19.9
B7XBM0,7,5.4.99.2
O29985,7.5,1.6.3.3
P18074,6.5,5.6.2.3
Q0KKA6,8,3.4.11.1
P0DOQ5,6.75,3.1.3.-; 3.1.3.48
Q9FNA2,8,1.5.3.16
Q187D4,7.5,2.5.1.49
A0QVH7,7.5,1.1.1.267
Q9LCC0,6.5,3.5.1.56
Q8VU79,9.75,3.1.1.1
Q6IYF5,4.8,3.2.1.22
Q44002,7,1.1.5.5
Q59196,9.25,2.6.1.52
