uniprot_id,ph_optimum,ec_id
Q9LA16,9,1.8.2.1
Q53JI9,7.5,2.4.1.14
Q6AYS7,8,3.5.1.14
T1KZQ3,7.55,4.2.1.104
Q9RQ17,7,3.5.1.4
Q9RYA6,8,4.2.1.113; 5.1.1.-
Q8WNR3,5,3.1.6.8
Q76I22,6.3,1.13.11.58
P0CS13,7,2.1.1.45
A0A076MQB4,8.5,3.5.99.7
Q5U9W0,6,2.4.1.19
Q16878,6.1,1.13.11.20
O25294,8,3.4.11.10
Q93X59,6,3.2.1.153
Q8DT64,7.4,2.7.13.3
A0A401H9D3,5,2.4.2.1
P56193,6,1.10.3.2
Q6NQ66,6,1.1.3.37 ; 1.1.3.8
Q9JZ55,7.4,2.5.1.55
Q9SWH5,7.25,2.4.1.344 ; 2.4.1.69
Q6R2X1,7,2.3.2.2
A7LBQ5,8,1.13.11.1
Q9YA34,9,2.4.2.3
O81985,5,2.4.1.100
P32171,8.5,2.7.1.5
Q6GK01,8,4.1.3.3
P10746,8.1,4.2.1.75
O30511,7.5,2.4.1.214 ; 2.4.1.152
Q8U248,8,2.1.1.256
P32963,8.5,4.2.1.66
A6UKD1,7,5.1.1.10 ; 5.1.1.15
Q8TDP1,8.5,3.1.26.4
A3DJX6,7.5,2.7.1.160
Q2WFW5,7,1.6.3.4
Q9UH17,5.5,3.5.4.38
P80299,7.2,3.3.2.10
Q6DTN4,8,3.5.1.87
Q715L4,7.25,3.7.1.4
P28796,7.8,4.1.99.1
Q6J1M5,6.5,2.5.1.18
P09546,7.5,1.5.5.2 ; 1.2.1.88
P68036,7.5,2.3.2.24
F8WKW5,8,2.4.1.324
Q12549,4,3.2.1.8
Q9BUM1,6,3.1.3.9
P78609,8.5,1.7.3.3
Q21929,7,1.1.1.10
Q09HN2,6.5,3.2.1.23
Q2G8F3,7.5,3.4.17.13
Q6GIL8,8.7,1.2.1.12
P04062,5,3.2.1.45
A7SDW8,7.5,1.13.11.52
Q88AH6,7,3.2.2.23
Q9XU84,7.75,3.6.1.6
P07867,8.5,3.1.1.3; 3.1.1.32; 3.1.1.5
Q4DPR9,7.4,2.7.7.1
Q9C550,8.5,2.3.3.13
A7LH74,7,3.6.1.5
C8P490,6.5,4.1.3.3
D3GE78,7.5,6.2.1.30
D5MTT1,7.5,5.3.1.15
Q96DG6,7.4,3.1.1.45
Q72IR2,5,2.4.2.1
B1XRD0,8,1.8.5.4
Q9X4A7,8,3.4.11.-
P27046,5.5,3.2.1.114
Q2V982,8,3.5.1.41
B3PC73,6.3,3.2.1.139
Q9HZQ8,8.3,3.4.11.1
Q8IU85,7.5,2.7.11.17
Q5SKG3,7,2.7.4.7 ; 2.7.1.49
P52917,7.5,3.6.4.6
Q25BW4,6.5,3.2.1.21
Q92412,8.35,4.2.1.36
Q8H116,7,3.2.1.113
I7L8N7,6,3.2.1.4
P45859,8,4.2.1.79
O24379,6,1.13.11.58
Q08548,7.35,2.3.1.23 ; 2.3.1.51
Q9ZUZ2,8,2.7.11.1
G9D323,7.5,1.15.1.1
Q20CK8,7.4,2.4.1.17
P12887,7.75,3.2.2.27
Q4QTJ1,6.75,3.5.99.14
E2E2P0,6.8,4.2.3.114
A6QDA0,8,2.5.1.140
Q0K2K2,9,2.6.1.19
Q54873,6,4.2.2.1
P0C0G6,8.5,1.2.1.12
A2VBC4,7.9,3.1.1.32
Q9Z1B3,6.7,3.1.4.11
Q9YGI5,7.5,3.1.21.1
Q8KKH9,7.5,4.2.2.7
Q9FVF9,8.625,3.1.1.11
P23971,7.5,6.2.1.26
Q9LDH0,7,2.4.2.38
Q5CYP8,7,6.1.1.2
B7XBZ9,7,3.5.2.12
A0A068LJN3,7.6,1.2.1.12
I3W8N3,6,3.2.1.73
Q93V78,8,2.1.1.n4
Q6ZMG9,7.45,2.3.1.24
B2NI94,9,1.1.1.354 ; 1.1.1.183
P07711,5.5,3.4.22.15
A0A0E3T552,9.8,1.2.1.19
Q8GJ90,7.375,2.7.7.71
O50490,6.1,1.13.11.20
Q5Z1T5,7.5,1.14.13.59
G0SCE7,6.625,1.1.1.307
A0A0B4UL66,5,3.2.1.15
A9PF83,7.4,2.1.1.274
P13674,7.5,1.14.11.2
S5FU55,7,3.13.1.5
P11551,5.5,
Q5W915,7,2.7.7.64
Q97YX7,2,3.4.23.42
Q12546,6,3.1.3.2
P32113,6.25,7.2.2.8
T1KF23,8.5,4.4.1.9
A0A0C5CE51,6,3.2.1.52
Q46E79,8,6.3.2.59
O32054,8.7,2.4.99.17
P05031,7,4.1.1.28
E0D7I2,7.5,3.1.4.4
A5FBJ5,5.5,3.2.1.216
Q79VI4,7,2.5.1.49
Q93Y52,7.5,3.6.1.1
Q8I1T1,6,2.7.4.10
Q2UPZ7,7,3.4.11.21
Q5ATH9,4.4,3.2.1.37
Q55216,8,2.1.1.292
O24554,10,4.2.2.2
Q89PT3,7.5,3.5.5.7
O94218,3.4,3.2.1.151
P14941,7,1.1.1.80
P30431,7.3,3.4.24.73
Q15738,7.5,1.1.1.170
A0A1B0WVE7,7.5,4.2.3.106
Q5AU92,3.5,3.2.1.22
H9JRZ9,7,1.1.1.95
E3W769,7.5,2.7.2.1
O09345,6,1.14.11.28
A0A0M4MCX5,9,3.5.3.1
O51648,8.5,3.1.26.3
A7LXT0,6.5,3.2.1.177
Q9YG89,6.35,2.7.1.11
Q00870,6,4.2.1.95
A0A2P1G7E2,7,4.1.3.3
Q02759,7.4,1.13.11.31
Q5I2C5,7.75,3.4.21.5
Q153J0,12,3.1.3.1
P08200,8,1.1.1.42
P22735,6.5,2.3.2.13
Q9RMM4,5,3.2.1.8
P34163,7.4,3.1.1.13
A9CQC1,7,3.4.22.34
Q8VZP1,7,3.1.3.21
P37896,6.75,3.4.11.2
Q9KVL7,8,4.1.1.20
P0CT89,7.5,2.1.1.-
B9K760,6.5,3.2.1.32
F4K687,7.6,2.7.7.1
Q9SUG3,7.5,2.7.1.159
Q9XFW4,8,2.3.1.51
B0LAW4,7.5,3.5.5.5
C0HJ40,9,4.3.1.24
G3XCJ9,7.5,2.5.1.54
P60061,2.5,
Q92769,7.4,3.5.1.98
Q6I7B6,7.5,5.4.2.7
P9WN65,7.5,4.2.1.46
Q9HZ76,8,2.6.1.98
B4E9I9,7.4,3.5.1.9
Q8ITU3,5.75,3.2.1.14
P85156,8,3.4.21.-
Q4J6C9,8,1.1.1.286
A1S0B1,3.5,3.2.1.21
A0A3Q1MJ30,7.5,2.3.1.24
Q53389,8,3.5.1.87
B3VI55,8.5,2.7.1.232
Q43576,6.3,3.2.1.14
P19224,7.5,2.4.1.17
Q6PW32,7.5,1.3.1.32
A6VQP8,9,6.3.2.3 ; 6.3.2.2
Q9FI99,7,2.4.1.-
Q972D2,10,1.4.3.16
Q9UJM8,7.5,1.1.3.15
E6PBP1,7.5,1.1.3.7 ; 1.1.3.47
Q2MGB1,8,2.7.8.7
P94127,7.725,1.7.2.4
Q6TA39,10,3.5.3.1
A0A7L7T1A0,5.5,1.1.3.4
Q76HP6,4,3.2.1.80
S5VDV0,7.5,2.4.1.357
Q8H2B4,6.5,4.2.3.26
Q9LY23,7.5,2.7.1.151
G1UB44,5,3.2.1.22
Q07412,7.8,5.3.1.1
O43175,7.1,1.1.1.95
B5BNY1,6,3.2.1.4
Q5PWZ8,7.2,3.5.99.7
Q9WYH8,7.3,2.5.1.54
Q06539,10.5,1.4.1.23
A0A191KCR1,5.25,3.2.1.21
W8DVW0,8.5,3.1.1.1
A0A3F2YLY8,7,1.1.2.10
P9WGD9,7.75,3.6.5.4
P9WKE1,8,2.7.4.9
Q9LVF0,6,2.4.1.120
A0A7R7ZDZ6,8,1.11.1.6
Q2WGB4,6.5,3.2.1.21
Q9S4V7,7.5,2.4.99.18
O80568,7.5,2.7.1.159
Q8L3B3,8,1.2.1.58
E5LLI1,7.4,4.2.3.82
P27278,8.6,2.7.1.22; 2.7.7.1
P45687,7.1,5.3.1.5
Q1JUP4,8,1.2.1.26
A8GHH5,8,3.4.21.83
P00590,8.5,3.1.1.74
O50657,6,4.1.1.18
P12676,6.625,1.1.3.6
P00512,8,2.7.1.11
Q568I9,7.5,2.7.11.17
O16843,7.5,1.3.8.5
Q4QEZ7,6,3.1.3.48
Q8IYB8,5,3.6.4.13
F1SVE4,8.5,1.5.98.3
Q60030,8.5,1.4.1.28
S5FPI8,8,1.2.3.1
P68767,7.8,3.4.11.1
P14901,7.4,1.14.14.18
Q9LEH3,5.5,1.11.1.7
M1R969,7.4,2.7.11.1
Q57ZS7,6.5,1.7.1.7
A2QL72,1.8,3.2.1.49
A0A1V1FH01,7,4.2.1.139
Q9HZK1,7.4,2.4.2.44
B0ZB55,9,2.1.1.338
C1L319,6,2.4.1.120
P17625,8.25,2.4.1.11
Q2U4P3,8,1.8.3.2
B3IVI7,7.4,3.5.1.30
A0A024RXP8,5.5,3.2.1.91
Q0ZS46,8,2.5.1.18
A0A0E0UUX4,7.15,1.2.1.87
B5LX62,6,3.2.1.78
A4F2N8,9,4.3.1.16
L8B068,7,3.2.1.1
Q9S1M6,7.5,2.1.1.188
Q96UT7,3.2,1.10.3.2
Q2QXY1,7.4,1.3.2.3
P53965,7.2,3.1.3.48
O64883,6,3.2.1.21
Q589Y0,8.25,2.3.1.-; 2.3.1.116
Q8RK01,8,7.4.2.8
P30624,7.4,6.2.1.3
Q12383,8,2.1.1.225
Q2LE69,2.4,3.2.1.78
Q8H0F2,8.5,2.4.1.238
Q978S7,3.7,3.2.1.28
Q7B8C2,6.5,3.1.1.81
Q8K0H7,6.5,
P49424,7,3.2.1.78
Q9Z0K8,8,3.5.1.92
Q2V983,8,3.5.1.41
I6XPK9,5,3.2.1.99
O31612,9,2.7.1.23
P19668,7,3.2.1.23
Q9Y948,6.5,4.1.2.4
A0A2Z5WP81,7,1.1.3.7
Q8N4T0,8,3.4.17.-
Q7LYI9,6.5,1.1.1.359
C7YUZ1,8,3.1.1.26
P9WEM1,6,1.14.99.-
P51017,8,4.1.3.39
Q8L539,8.5,6.3.3.2
P76491,8,3.1.3.5
A0A0P0IZM9,5,3.2.1.6
P86831,7,6.2.1.33
Q6NYI5,7.4,1.2.1.12
D5LNE5,7,5.3.1.14
Q6P2P2,7.75,2.1.1.320
P07128,7.8,2.7.1.39
O09159,4.35,3.2.1.24
Q3LS17,8,3.1.3.7
A1S3N8,4.15,3.4.23.1
G3XD67,7.925,1.4.99.5
Q9FHA4,8,3.4.21.62
Q43763,4.375,3.2.1.20
Q08VU0,7,4.2.3.155
Q8PUQ1,8,6.3.2.44
Q75W17,5,3.2.1.161
Q8P9S0,7,3.2.1.78
A5K3U9,8.5,3.4.11.1
W8GJF4,8,2.7.3.3
Q9Y295,8.5,3.6.5.-
Q6DRD3,9,2.7.7.7
Q9DDU5,7.5,2.5.1.18
P76558,7.8,1.1.1.40
Q88JX5,7,1.13.11.57
P61869,7.5,3.1.1.-
Q9L514,8,3.1.1.3
P85139,4.3,3.4.23.-
B1WSS6,7.5,1.13.11.92
Q4KGW9,8.7,3.5.99.10
A0A160PV21,7,2.7.11.1
O86169,8,2.1.1.163
P53555,8.3,2.6.1.105
Q6Q8A5,8,2.7.1.1
P40012,7.2,1.3.3.4
P58137,7.4,3.1.2.2 ; 3.1.2.27 ; 3.1.2.20
Q9NR34,6.25,3.2.1.113
M9VRD0,7,2.5.1.91 ; 2.5.1.86
C0SVZ6,7.625,2.3.1.219 ; 2.3.1.217
P0CI73,7.5,2.6.1.16
Q07635,7.5,2.7.7.7
P16930,7.4,3.7.1.2
P06988,9.5,1.1.1.23
P27773,7.5,5.3.4.1
